"","X","COUNTYFP","NEVER","RARELY","SOMETIMES","FREQUENTLY","ALWAYS","NAME","STATE"
"1",1,1001,0.053,0.074,0.134,0.295,0.444,"Autauga","Alabama"
"2",2,1003,0.083,0.059,0.098,0.323,0.436,"Baldwin","Alabama"
"3",3,1005,0.067,0.121,0.12,0.201,0.491,"Barbour","Alabama"
"4",4,1007,0.02,0.034,0.096,0.278,0.572,"Bibb","Alabama"
"5",5,1009,0.053,0.114,0.18,0.194,0.459,"Blount","Alabama"
"6",6,1011,0.031,0.04,0.144,0.286,0.5,"Bullock","Alabama"
"7",7,1013,0.102,0.053,0.257,0.137,0.451,"Butler","Alabama"
"8",8,1015,0.152,0.108,0.13,0.167,0.442,"Calhoun","Alabama"
"9",9,1017,0.117,0.037,0.15,0.136,0.56,"Chambers","Alabama"
"10",10,1019,0.135,0.027,0.161,0.158,0.52,"Cherokee","Alabama"
"11",11,1021,0.06,0.07,0.058,0.194,0.618,"Chilton","Alabama"
"12",12,1023,0.049,0.038,0.126,0.219,0.568,"Choctaw","Alabama"
"13",13,1025,0.049,0.088,0.164,0.268,0.43,"Clarke","Alabama"
"14",14,1027,0.148,0.158,0.195,0.169,0.329,"Clay","Alabama"
"15",15,1029,0.151,0.125,0.138,0.217,0.368,"Cleburne","Alabama"
"16",16,1031,0.101,0.152,0.094,0.186,0.466,"Coffee","Alabama"
"17",17,1033,0.082,0.096,0.152,0.159,0.51,"Colbert","Alabama"
"18",18,1035,0.099,0.052,0.259,0.192,0.399,"Conecuh","Alabama"
"19",19,1037,0.055,0.131,0.167,0.263,0.384,"Coosa","Alabama"
"20",20,1039,0.187,0.128,0.129,0.201,0.356,"Covington","Alabama"
"21",21,1041,0.06,0.091,0.199,0.233,0.416,"Crenshaw","Alabama"
"22",22,1043,0.13,0.024,0.249,0.217,0.379,"Cullman","Alabama"
"23",23,1045,0.089,0.113,0.118,0.22,0.46,"Dale","Alabama"
"24",24,1047,0.095,0.1,0.159,0.122,0.524,"Dallas","Alabama"
"25",25,1049,0.084,0.051,0.106,0.179,0.58,"DeKalb","Alabama"
"26",26,1051,0.042,0.095,0.127,0.252,0.485,"Elmore","Alabama"
"27",27,1053,0.114,0.026,0.188,0.285,0.387,"Escambia","Alabama"
"28",28,1055,0.096,0.103,0.178,0.122,0.501,"Etowah","Alabama"
